12.50, 0.09, 0.06, -1.05
12.50, 0.52, 0.31, -2.67
12.50, 1.84, 0.89, -5.40
12.50, 4.51, 1.78, -8.89
12.50, 8.07, 2.62, -10.33
-35.50, -4.77, -1.59, 8.78
-37.50, -17.82, -4.63, 10.43
-36.50, -27.78, -6.19, 10.48
-35.50, -34.68, -6.76, 10.43
-34.50, -39.19, -6.75, 10.36
-35.50, -42.64, -6.54, 10.30
-34.50, -44.71, -6.11, 10.23
-29.50, -44.56, -5.39, 10.16
-28.50, -43.91, -4.68, 10.10
-25.50, -42.30, -3.90, 10.05
-23.50, -40.20, -3.13, 10.01
-19.50, -37.18, -2.31, 9.97
-10.50, -32.15, -1.29, 9.93
-6.50, -26.71, -0.32, 9.89
-9.50, -22.67, 0.38, 9.87
-2.50, -17.41, 1.16, 9.86
-2.50, -12.84, 1.77, 9.48
3.50, -7.47, 2.41, 6.25
5.50, -2.44, 2.92, 2.27
4.50, 1.52, 3.22, -7.88
11.50, 6.44, 3.60, -10.15
14.50, 11.18, 3.89, -10.14
14.50, 14.99, 4.01, -10.12
17.50, 18.68, 4.08, -10.11
18.50, 21.76, 4.04, -10.09
16.50, 23.56, 3.81, -10.07
17.50, 24.98, 3.54, -10.04
13.50, 24.86, 3.07, -10.02
8.50, 23.17, 2.42, -9.98
4.50, 20.42, 1.68, -9.95
3.50, 17.52, 0.99, -9.93
2.50, 14.56, 0.37, -9.91
0.50, 11.37, -0.22, -9.89
-5.50, 7.03, -0.89, -7.40
-9.50, 2.27, -1.55, -3.20
-9.50, -1.83, -2.03, 6.68
-9.50, -5.29, -2.36, 9.96
-16.50, -9.87, -2.79, 10.13
-16.50, -13.65, -3.06, 10.13
-15.50, -16.46, -3.14, 10.11
-14.50, -18.40, -3.08, 10.09
-11.50, -19.07, -2.83, 10.07
-12.50, -19.62, -2.57, 10.05
-8.50, -18.86, -2.15, 10.02
-8.50, -17.95, -1.74, 10.00
-6.50, -16.46, -1.28, 9.98
-2.50, -14.00, -0.73, 9.95
-0.50, -11.23, -0.20, 9.94
4.50, -7.51, 0.41, 8.18
6.50, -3.74, 0.96, 5.10
7.50, -0.23, 1.41, 0.30
13.50, 4.23, 1.93, -8.69
13.50, 8.00, 2.29, -10.11
15.50, 11.61, 2.58, -10.11
17.50, 15.05, 2.81, -10.11
17.50, 17.81, 2.90, -10.09
13.50, 18.98, 2.74, -10.07
16.50, 20.47, 2.64, -10.06
10.50, 20.04, 2.26, -10.03
13.50, 20.16, 1.99, -10.01
10.50, 19.30, 1.60, -9.99
7.50, 17.62, 1.14, -9.97
-1.50, 13.79, 0.42, -9.94
0.50, 10.83, -0.11, -9.93
-4.50, 6.97, -0.71, -7.57
-3.50, 3.84, -1.13, -5.02
-11.50, -0.80, -1.71, 4.91
-10.50, -4.51, -2.09, 9.09
-16.50, -9.07, -2.54, 10.12
-16.50, -12.85, -2.83, 10.11
-21.50, -17.15, -3.14, 10.11
-19.50, -20.13, -3.22, 10.10
-19.50, -22.45, -3.18, 10.08
-18.50, -23.92, -3.02, 10.06
-15.50, -24.16, -2.69, 10.04
-13.50, -23.60, -2.27, 10.01
-9.50, -21.87, -1.72, 9.98
-8.50, -19.89, -1.19, 9.96
-3.50, -16.76, -0.55, 9.94
-2.50, -13.66, 0.02, 9.92
1.50, -9.91, 0.62, 9.25
2.50, -6.37, 1.12, 6.80
6.50, -2.33, 1.62, 3.23
7.50, 1.34, 2.02, -6.06
11.50, 5.40, 2.41, -10.07
13.50, 9.24, 2.72, -10.11
16.50, 13.12, 2.99, -10.11
16.50, 16.24, 3.11, -10.10
15.50, 18.45, 3.08, -10.08
16.50, 20.33, 2.99, -10.07
14.50, 21.18, 2.75, -10.05
13.50, 21.40, 2.44, -10.02
9.50, 20.34, 1.97, -10.00
5.50, 18.20, 1.39, -9.97
2.50, 15.40, 0.78, -9.95
0.50, 12.32, 0.19, -9.93
-1.50, 9.06, -0.36, -9.07
-4.50, 5.43, -0.90, -6.40
-6.50, 1.80, -1.38, -2.86
-7.50, -1.56, -1.75, 6.00
-13.50, -5.85, -2.21, 10.12
-16.50, -10.17, -2.61, 10.12
-15.50, -13.49, -2.82, 10.11
-14.50, -15.91, -2.87, 10.10
-14.50, -17.77, -2.82, 10.08
-14.50, -19.13, -2.69, 10.06
-13.50, -19.80, -2.46, 10.04
-12.50, -19.89, -2.17, 10.02
-9.50, -18.99, -1.76, 10.00
-8.50, -17.75, -1.34, 9.98
-5.50, -15.76, -0.85, 9.96
-1.50, -12.90, -0.30, 9.94
0.50, -9.82, 0.23, 9.60
7.50, -5.37, 0.89, 6.37
8.50, -1.27, 1.43, 2.16
12.50, 3.23, 1.96, -7.93
13.50, 7.27, 2.36, -10.12
13.50, 10.62, 2.61, -10.11
18.50, 14.56, 2.90, -10.11
19.50, 18.01, 3.08, -10.10
18.50, 20.49, 3.09, -10.09
17.50, 22.13, 2.97, -10.07
15.50, 22.77, 2.71, -10.05
9.50, 21.59, 2.21, -10.02
11.50, 20.79, 1.80, -9.99
5.50, 18.41, 1.21, -9.97
3.50, 15.66, 0.63, -9.94
3.50, 13.13, 0.13, -9.93
-0.50, 9.87, -0.41, -9.45
-4.50, 6.01, -0.97, -6.71
-9.50, 1.45, -1.57, -2.28
-10.50, -2.70, -2.03, 7.55
-13.50, -6.93, -2.45, 10.12
-13.50, -10.43, -2.71, 10.12
-15.50, -13.76, -2.90, 10.11
-20.50, -17.65, -3.14, 10.10
-20.50, -20.75, -3.23, 10.09
-16.50, -22.19, -3.07, 10.07
-16.50, -23.14, -2.83, 10.05
-15.50, -23.43, -2.52, 10.03
-7.50, -21.45, -1.92, 9.99
-10.50, -20.21, -1.47, 9.97
-6.50, -17.96, -0.93, 9.95
-4.50, -15.35, -0.39, 9.93
0.50, -11.74, 0.23, 9.91
2.50, -8.04, 0.80, 8.09
6.50, -3.84, 1.37, 4.80
8.50, 0.25, 1.85, -4.03
10.50, 4.20, 2.26, -9.05
14.50, 8.47, 2.65, -10.12
16.50, 12.48, 2.95, -10.12
14.50, 15.25, 3.04, -10.10
17.50, 18.13, 3.11, -10.09
17.50, 20.36, 3.07, -10.08
15.50, 21.52, 2.88, -10.06
12.50, 21.51, 2.52, -10.03
11.50, 20.98, 2.13, -10.01
7.50, 19.29, 1.60, -9.98
7.50, 17.60, 1.12, -9.96
4.50, 15.23, 0.60, -9.94
1.50, 12.30, 0.05, -9.93
-1.50, 8.93, -0.50, -8.87
-7.50, 4.50, -1.13, -5.52
-9.50, 0.18, -1.68, 0.01
-12.50, -4.23, -2.17, 8.98
-19.50, -9.65, -2.74, 10.13
-17.50, -13.69, -3.04, 10.13
-20.50, -17.70, -3.29, 10.12
-18.50, -20.43, -3.33, 10.10
-19.50, -22.75, -3.28, 10.09
-19.50, -24.47, -3.14, 10.07
-20.50, -25.90, -2.96, 10.05
-16.50, -25.85, -2.59, 10.02
-16.50, -25.53, -2.20, 10.00
-9.50, -23.27, -1.58, 9.97
-11.50, -21.57, -1.10, 9.95
-5.50, -18.45, -0.46, 9.93
-1.50, -14.62, 0.20, 9.91
3.50, -10.00, 0.91, 9.00
6.50, -5.23, 1.55, 5.64
11.50, 0.08, 2.19, -4.12
14.50, 5.32, 2.75, -10.14
14.50, 9.69, 3.11, -10.14
20.50, 14.73, 3.51, -10.14
16.50, 17.87, 3.58, -10.12
19.50, 21.02, 3.63, -10.11
19.50, 23.43, 3.56, -10.09
16.50, 24.45, 3.28, -10.06
16.50, 25.01, 2.96, -10.04
13.50, 24.44, 2.50, -10.01
12.50, 23.41, 2.01, -9.98
10.50, 21.77, 1.49, -9.96
4.50, 18.65, 0.81, -9.94
6.50, 16.26, 0.30, -9.92
4.50, 13.58, -0.19, -9.91
-0.50, 9.96, -0.76, -9.13
-2.50, 6.30, -1.26, -6.62
-9.50, 1.44, -1.87, -2.03
-13.50, -3.67, -2.44, 8.87
-13.50, -7.97, -2.82, 10.13
-15.50, -11.99, -3.11, 10.13
-21.50, -16.72, -3.45, 10.12
-22.50, -20.79, -3.65, 10.11
